ID,一级目录,二级目录,页面名称,功能名称,详细描述,优先级,复杂度,依赖关系,验收标准,来源
F01,首页,/,首页,Hero轮播海报,全屏背景展示平台核心价值主张，支持多张海报轮播，每张海报包含标题、副标题、背景图片,P0,低,,1. 海报自动轮播，间隔5秒 2. 支持手动切换 3. 标题和副标题清晰可读 4. 背景图片加载正常无变形,AI代码
F02,首页,/,首页,平台数据统计,展示平台核心数据：入驻企业数、软件产品数、覆盖行业数、申报金额，数字带动态递增动画效果,P0,低,,1. 数据准确展示 2. 数字递增动画流畅 3. 响应式布局适配 4. 数据更新及时,AI代码
F03,首页,/,首页,热门软件产品,Bento Grid风格展示热门软件产品，支持自动轮播切换主推产品，展示软件Logo、名称、分类、简介,P0,中,,1. 网格布局整齐 2. 轮播切换流畅 3. 产品信息完整展示 4. 点击可跳转详情页,AI代码
F04,首页,/,首页,最新政策资讯,卡片式展示最新发布的政策资讯，包含政策标题、发布时间、浏览量、标签,P1,低,,1. 政策列表按时间倒序 2. 卡片样式统一 3. 标签颜色区分 4. 点击可查看详情,AI代码
F05,首页,/,首页,入驻流程展示,四步入驻流程可视化展示：注册账号→提交资料→平台审核→正式入驻,P1,低,,1. 流程步骤清晰 2. 图标和文字对应 3. 当前步骤高亮 4. 移动端适配,AI代码
F06,首页,/,首页,合作伙伴展示,Logo墙形式展示合作企业/机构，支持横向滚动或网格展示,P1,低,,1. Logo展示完整 2. 排版整齐 3. 悬停效果 4. 响应式适配,AI代码
F07,软件产品,软件列表,软件列表页,分类筛选,支持按软件分类筛选：CAD设计/CAM制造/CAE仿真/MES系统/ERP管理/PLM生命周期/SCM供应链,P0,低,F03,1. 分类标签可点击切换 2. 选中状态明显 3. 筛选结果实时更新 4. 支持清除筛选,AI代码
F08,软件产品,软件列表,软件列表页,关键词搜索,支持按软件名称、公司名称、标签关键词搜索,P0,低,,1. 搜索框位置明显 2. 支持实时搜索 3. 搜索结果准确 4. 无结果提示友好,AI代码
F09,软件产品,软件列表,软件列表页,软件卡片展示,卡片展示软件信息：Logo、名称、分类、公司、简介、评分、价格、标签,P0,中,F07,1. 卡片信息完整 2. 分类标签颜色区分 3. 评分星级展示 4. 价格区间显示,AI代码
F10,软件产品,软件详情,软件详情页,软件基本信息,展示软件完整信息：名称、Logo、分类、公司、评分、浏览量、价格、标签,P0,低,F09,1. 信息展示完整 2. 布局清晰 3. 图片加载正常 4. 返回按钮可用,AI代码
F11,软件产品,软件详情,软件详情页,软件详细介绍,展示软件功能特点、适用场景、技术参数等详细描述,P0,低,F10,1. 富文本展示正常 2. 排版美观 3. 图片可放大查看 4. 内容完整,AI代码
F12,软件产品,软件详情,软件详情页,联系/咨询按钮,提供联系软件提供商的入口，支持在线咨询或电话联系,P1,中,F10,1. 按钮明显 2. 联系方式准确 3. 弹窗表单正常 4. 提交成功提示,AI代码
F13,软件产品,产品管理,产品介绍页,产品介绍展示,展示软件产品的详细介绍、功能特点、应用场景,P1,中,,1. 产品信息完整 2. 图文并茂 3. 分类清晰 4. 搜索功能,合同
F14,软件产品,产品管理,产品价格页,产品价格体系,展示软件产品的价格方案、授权方式、购买流程,P1,中,,1. 价格透明 2. 方案对比 3. 购买引导 4. 在线咨询,合同
F15,软件产品,产品管理,产品评价页,评价体系,展示用户评价、评分、使用反馈,P2,低,,1. 评价展示 2. 评分统计 3. 筛选排序 4. 评价提交,合同
F16,政策资讯,政策列表,政策列表页,政策分类筛选,支持按政策类型筛选：产业政策/补贴政策/申报通知/其他,P0,低,,1. 筛选条件清晰 2. 筛选结果准确 3. 支持多选 4. 清除筛选功能,AI代码
F17,政策资讯,政策列表,政策列表页,政策列表展示,列表展示政策：标题、类型、发布日期、浏览量、摘要、标签,P0,低,F16,1. 列表排版整齐 2. 置顶政策标识 3. 时间格式统一 4. 分页功能正常,AI代码
F18,政策资讯,政策详情,政策详情页,政策内容展示,展示政策完整内容：标题、发布时间、来源、正文、附件,P0,低,F17,1. 富文本渲染正常 2. 附件可下载 3. 分享功能 4. 相关推荐,AI代码
F19,政策资讯,政策服务,政策发布页,政策发布管理,发布新的政策资讯，编辑标题、内容、附件、标签,P0,高,平台登录,1. 富文本编辑器 2. 附件上传 3. 置顶设置 4. 定时发布,合同
F20,政策资讯,政策服务,政策咨询页,政策咨询服务,提供政策咨询入口，解答企业政策疑问,P1,中,,1. 咨询表单 2. 问题分类 3. 回复通知 4. 历史记录,合同
F21,需求对接,需求列表,需求列表页,需求列表展示,展示企业发布的软件需求：标题、发布企业、预算、截止日期、状态,P0,中,,1. 列表信息完整 2. 状态标识清晰 3. 筛选排序功能 4. 分页加载,AI代码
F22,需求对接,需求详情,需求详情页,需求详情展示,展示需求详细信息：需求描述、技术要求、预算范围、联系方式,P0,中,F21,1. 信息展示完整 2. 联系按钮可用 3. 相似需求推荐 4. 返回功能,AI代码
F23,需求对接,需求发布,需求发布页,需求发布表单,企业可发布软件需求，填写需求标题、描述、预算、联系方式,P0,高,企业登录,1. 表单验证完整 2. 必填项提示 3. 提交成功提示 4. 草稿保存功能,AI代码
F24,用户中心,登录,登录页,多角色登录,支持平台管理员、企业用户、工业制造企业多角色登录,P0,高,,1. 角色选择清晰 2. 账号密码验证 3. 错误提示友好 4. 记住密码功能,AI代码
F25,用户中心,注册,注册页,企业入驻注册,企业填写基本信息注册账号，提交入驻申请,P0,高,,1. 表单字段完整 2. 手机号验证 3. 密码强度提示 4. 注册成功跳转,AI代码
F26,企业工作台,/,企业仪表盘,数据概览,展示企业相关数据统计：软件发布数、需求发布数、补贴申请数、消息通知数,P0,中,企业登录,1. 数据准确 2. 卡片布局 3. 快捷入口 4. 实时更新,AI代码
F27,企业工作台,企业信息,企业信息页,企业信息查看,查看已提交的企业资质信息、联系方式、营业执照等,P0,低,企业登录,1. 信息展示完整 2. 图片可查看 3. 审核状态显示 4. 编辑入口,AI代码
F28,企业工作台,企业信息,企业信息编辑页,企业信息编辑,修改企业基本信息、联系方式、企业简介等,P0,中,F27,1. 表单预填充 2. 修改验证 3. 保存成功提示 4. 图片上传功能,AI代码
F29,企业工作台,企业申报,企业申报页,企业申报功能,企业提交申报信息、上传证明材料,P0,高,企业登录,1. 申报表单完整 2. 材料上传 3. 进度查询 4. 历史记录,合同
F30,企业工作台,企业申报,一企一档,企业档案管理,建立企业专属档案，记录企业信息、申报历史、补贴记录,P1,中,F29,1. 档案信息完整 2. 历史可追溯 3. 数据统计 4. 导出功能,合同
F31,企业工作台,软件管理,软件发布页,软件产品发布,发布新的软件产品，填写软件名称、分类、描述、价格、Logo等,P0,高,企业登录,1. 表单字段完整 2. 分类选择器 3. 图片上传裁剪 4. 预览功能,AI代码
F32,企业工作台,软件管理,我的软件页,软件产品管理,管理已发布的软件产品：查看、编辑、下架、删除,P0,中,F31,1. 列表展示完整 2. 状态标识 3. 操作按钮可用 4. 下架确认提示,AI代码
F33,企业工作台,需求管理,我的需求页,需求管理,查看和管理发布的软件需求，查看对接状态,P0,中,F23,1. 需求列表展示 2. 对接状态更新 3. 编辑/删除功能 4. 重新发布,AI代码
F34,企业工作台,申报模块,申报通知页,申报通知与响应,接收申报通知，查看申报要求，提交申报响应,P0,高,企业登录,1. 通知推送 2. 要求展示 3. 响应提交 4. 状态跟踪,合同
F35,企业工作台,申报模块,申报材料页,申报材料填报,填写申报材料，上传相关证明文件,P0,高,F34,1. 表单完整 2. 材料上传 3. 自动保存 4. 提交确认,合同
F36,企业工作台,申报模块,申报进度页,申报进度跟踪,实时查看申报审核进度和状态,P0,中,F35,1. 进度条展示 2. 状态更新 3. 审核意见 4. 补充材料,合同
F37,企业工作台,申报计划,投入计划页,工业软件投入计划,制定工业软件采购和实施计划,P1,中,企业登录,1. 计划编制 2. 预算管理 3. 时间规划 4. 提交审核,合同
F38,企业工作台,申报计划,计划提交页,提交计划,提交工业软件投入计划等待审核,P1,中,F37,1. 提交确认 2. 材料附件 3. 提交成功提示 4. 进度查询,合同
F39,企业工作台,验收模块,使用方案页,软件使用方案管理,管理软件使用方案和实施计划,P1,中,F36,1. 方案编制 2. 实施跟踪 3. 文档管理 4. 提交验收,合同
F40,企业工作台,验收模块,验收申请页,验收申请及材料提交,提交验收申请和相关证明材料,P1,高,F39,1. 申请表单 2. 材料上传 3. 申请提交 4. 进度查询,合同
F41,企业工作台,补贴申请,补贴申请页,补贴申请提交,提交补贴申请，填写申请信息、上传证明材料,P0,高,企业登录,1. 申请表单完整 2. 材料上传 3. 进度查询 4. 历史记录,AI代码
F42,企业工作台,补贴申请,我的补贴页,补贴申请记录,查看补贴申请记录和审核状态、审核意见,P0,中,F41,1. 申请列表展示 2. 状态流程图 3. 审核意见查看 4. 补充材料入口,AI代码
